n,Age,Gender,Education Level,Job Title,Years of Experience,Salary
3,45.0,Male,PhD,Senior Manager,15.0,150000.0
5,52.0,Male,Master's,Director,20.0,200000.0
7,42.0,Male,Master's,Product Manager,12.0,120000.0
10,38.0,Male,PhD,Senior Scientist,10.0,110000.0
12,48.0,Male,Bachelor's,HR Manager,18.0,140000.0
14,40.0,Male,Master's,Project Manager,14.0,130000.0
16,44.0,Male,Bachelor's,Operations Manager,16.0,125000.0
18,39.0,Male,PhD,Senior Engineer,12.0,115000.0
20,51.0,Male,Bachelor's,Sales Director,22.0,180000.0
22,47.0,Male,Master's,VP of Operations,19.0,190000.0
24,36.0,Male,Bachelor's,Recruiter,9.0,60000.0
25,41.0,Male,Master's,Financial Manager,13.0,140000.0
27,37.0,Male,Master's,Software Manager,11.0,110000.0
29,43.0,Male,PhD,Senior Consultant,15.0,140000.0
31,50.0,Male,Bachelor's,CEO,25.0,250000.0
34,39.0,Male,Bachelor's,Marketing Specialist,10.0,65000.0
35,46.0,Male,PhD,Senior Manager,20.0,170000.0
38,42.0,Male,Master's,Project Engineer,14.0,115000.0
40,49.0,Male,Bachelor's,Sales Executive,21.0,160000.0
42,48.0,Male,Master's,Operations Director,18.0,190000.0
45,41.0,Male,Master's,Strategy Consultant,13.0,130000.0
48,45.0,Male,Master's,Director of Marketing,16.0,180000.0
49,38.0,Male,PhD,Senior Scientist,11.0,120000.0
51,51.0,Male,Bachelor's,Customer Service Manager,22.0,130000.0
53,40.0,Male,Bachelor's,Event Coordinator,12.0,60000.0
54,47.0,Male,Master's,VP of Finance,19.0,200000.0
56,36.0,Male,Bachelor's,Sales Manager,9.0,95000.0
58,43.0,Male,PhD,Senior Engineer,17.0,140000.0
61,51.0,Male,Master's,Director of Operations,23.0,170000.0
63,40.0,Male,Bachelor's,HR Manager,12.0,80000.0
64,47.0,Male,PhD,Senior Data Scientist,21.0,180000.0
66,38.0,Male,Master's,Digital Marketing Manager,10.0,90000.0
67,46.0,Male,Bachelor's,IT Manager,19.0,120000.0
70,49.0,Male,Master's,Senior Financial Analyst,18.0,150000.0
72,39.0,Male,Bachelor's,Recruiter,11.0,70000.0
73,45.0,Male,PhD,Research Director,16.0,190000.0
75,42.0,Male,Master's,Creative Director,14.0,120000.0
76,37.0,Male,Bachelor's,Project Manager,10.0,95000.0
77,50.0,Male,Bachelor's,Operations Manager,22.0,160000.0
79,48.0,Male,Master's,Human Resources Director,20.0,180000.0
82,41.0,Male,Master's,Data Analyst,13.0,80000.0
84,52.0,Male,PhD,Chief Technology Officer,24.0,250000.0
86,34.0,Male,Master's,Financial Advisor,10.0,95000.0
88,40.0,Male,Bachelor's,HR Generalist,15.0,80000.0
89,46.0,Male,Master's,Senior Project Manager,21.0,135000.0
91,36.0,Male,PhD,Principal Scientist,11.0,120000.0
93,43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0
94,52.0,Male,Master's,Senior Marketing Manager,25.0,170000.0
96,39.0,Male,Bachelor's,Training Specialist,12.0,65000.0
97,47.0,Male,PhD,Research Scientist,22.0,160000.0
99,38.0,Male,Master's,Public Relations Manager,10.0,90000.0
100,45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0
103,49.0,Male,Master's,Senior HR Manager,19.0,150000.0
105,39.0,Male,Master's,Senior Project Coordinator,13.0,80000.0
106,44.0,Male,PhD,Chief Data Officer,16.0,220000.0
109,41.0,Male,Master's,Senior Marketing Analyst,14.0,100000.0
111,42.0,Male,Master's,Senior Graphic Designer,15.0,110000.0
112,37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0
113,50.0,Male,Bachelor's,Supply Chain Analyst,22.0,130000.0
117,40.0,Male,Bachelor's,Office Manager,15.0,65000.0
118,48.0,Male,PhD,Principal Engineer,20.0,170000.0
120,35.0,Male,Master's,Senior Product Manager,10.0,120000.0
121,42.0,Male,Bachelor's,Sales Manager,17.0,100000.0
122,53.0,Male,Master's,Director of Marketing,25.0,180000.0
124,38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0
125,44.0,Male,PhD,Senior Scientist,16.0,140000.0
